MassRunningOrder,BaseWheel,EnginePower,InnovativeTechnology,ElecRange_NO_RANGE,ElecRange_0to50,ElecRange_50to100,ElecRange_100to150,ElecRange_150+,Pool_BMW,Pool_FORD,Pool_HYUNDAI,Pool_KIA,Pool_MAZDA-SUBARU-SUZUKI-TOYOTA,Pool_MERCEDES-BENZ,Pool_RENAULT-NISSAN-MITSUBISHI,Pool_STELLANTIS,Pool_TESLA,Pool_VW-SAIC,FuelType_DIESEL,FuelType_DIESEL/ELECTRIC,FuelType_E85,FuelType_ELECTRIC,FuelType_LPG,FuelType_NG,FuelType_NG-BIOMETHANE,FuelType_PETROL,FuelType_PETROL/ELECTRIC
".values =
-0.23720930232558138

.base_values =
1.8255813953488371

.data =
1354.0",".values =
0.11395348837209296

.base_values =
1.8255813953488371

.data =
2590.0",".values =
0.3052325581395349

.base_values =
1.8255813953488371

.data =
110.0",".values =
-0.0023255813953488302

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.26686046511627914

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.02674418604651163

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.005232558139534882

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.10174418604651163

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.09302325581395351

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.17383720930232563

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.17151162790697674

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.16511627906976745

.base_values =
1.8255813953488371

.data =
0.0"
".values =
2.074418604651163

.base_values =
1.8255813953488371

.data =
2227.0",".values =
0.24069767441860468

.base_values =
1.8255813953488371

.data =
3300.0",".values =
-0.063953488372093

.base_values =
1.8255813953488371

.data =
77.0",".values =
0.032558139534883714

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.35523255813953486

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.004651162790697683

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.02034883720930236

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.022674418604651157

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.009883720930232565

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0005813953488372214

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.2540697674418605

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.2383720930232558

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.12383720930232556

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.11802325581395348

.base_values =
1.8255813953488371

.data =
0.0"
".values =
1.1017441860465116

.base_values =
1.8255813953488371

.data =
1735.0",".values =
0.11220930232558139

.base_values =
1.8255813953488371

.data =
2670.0",".values =
0.25872093023255816

.base_values =
1.8255813953488371

.data =
110.0",".values =
-0.0029069767441860296

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.311046511627907

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0011627906976744208

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.09883720930232556

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0017441860465115977

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0011627906976744208

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.011627906976744174

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.018604651162790697

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.21976744186046515

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0674418604651162

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.2005813953488373

.base_values =
1.8255813953488371

.data =
0.0"
".values =
0.38604651162790704

.base_values =
1.8255813953488371

.data =
2057.0",".values =
-0.022674418604651175

.base_values =
1.8255813953488371

.data =
2815.0",".values =
0.041279069767441876

.base_values =
1.8255813953488371

.data =
132.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-1.0174418604651163

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0034883720930232397

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0034883720930232558

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.013372093023255805

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.007558139534883712

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.005232558139534885

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.013953488372093027

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.05406976744186046

.base_values =
1.8255813953488371

.data =
0.0",".values =
-1.166279069767442

.base_values =
1.8255813953488371

.data =
1.0"
".values =
-0.12383720930232552

.base_values =
1.8255813953488371

.data =
1313.0",".values =
0.0017441860465116754

.base_values =
1.8255813953488371

.data =
2580.0",".values =
-0.34651162790697676

.base_values =
1.8255813953488371

.data =
67.0",".values =
-0.0011627906976744208

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.19825581395348832

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.09651162790697677

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.01976744186046512

.base_values =
1.8255813953488371

.data =
1.0",".values =
-0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.03197674418604653

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0261627906976744

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.141860465116279

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.08837209302325581

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.14593023255813958

.base_values =
1.8255813953488371

.data =
0.0"
".values =
1.876162790697674

.base_values =
1.8255813953488371

.data =
2245.0",".values =
0.17732558139534887

.base_values =
1.8255813953488371

.data =
3430.0",".values =
0.4104651162790699

.base_values =
1.8255813953488371

.data =
174.0",".values =
0.005813953488372103

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.3953488372093022

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.016279069767441888

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.021511627906976794

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.012209302325581406

.base_values =
1.8255813953488371

.data =
1.0",".values =
-0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0023255813953488302

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.003488372093023251

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0651162790697675

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.247093023255814

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.16802325581395353

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.24476744186046506

.base_values =
1.8255813953488371

.data =
0.0"
".values =
-0.4127906976744186

.base_values =
1.8255813953488371

.data =
1293.0",".values =
0.09069767441860466

.base_values =
1.8255813953488371

.data =
2590.0",".values =
-0.15406976744186038

.base_values =
1.8255813953488371

.data =
81.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.21511627906976746

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0011627906976744208

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.013372093023255793

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.003488372093023251

.base_values =
1.8255813953488371

.data =
0.0",".values =
-2.2204460492503132e-17

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.011627906976744207

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.056395348837209314

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.14127906976744184

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.06511627906976745

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.15058139534883724

.base_values =
1.8255813953488371

.data =
0.0"
".values =
0.3505813953488372

.base_values =
1.8255813953488371

.data =
2005.0",".values =
-0.031395348837209305

.base_values =
1.8255813953488371

.data =
2690.0",".values =
0.034883720930232544

.base_values =
1.8255813953488371

.data =
136.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-1.0703488372093024

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.003488372093023262

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.043604651162790685

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0005813953488371992

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.006976744186046491

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.013953488372093023

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.013953488372093047

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.04767441860465114

.base_values =
1.8255813953488371

.data =
0.0",".values =
-1.0069767441860464

.base_values =
1.8255813953488371

.data =
1.0"
".values =
0.22500000000000003

.base_values =
1.8255813953488371

.data =
1558.0",".values =
0.04534883720930236

.base_values =
1.8255813953488371

.data =
2628.0",".values =
0.6046511627906976

.base_values =
1.8255813953488371

.data =
140.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.3

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0011627906976744208

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.02674418604651161

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.008720930232558155

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0005813953488372104

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.2500000000000001

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.2267441860465116

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.2162790697674418

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.09767441860465118

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.17500000000000004

.base_values =
1.8255813953488371

.data =
0.0"
".values =
-0.17383720930232555

.base_values =
1.8255813953488371

.data =
1422.0",".values =
0.10465116279069764

.base_values =
1.8255813953488371

.data =
2590.0",".values =
0.172093023255814

.base_values =
1.8255813953488371

.data =
110.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.20872093023255817

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.001744186046511631

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.019186046511627954

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.0011627906976744208

.base_values =
1.8255813953488371

.data =
0.0",".values =
-1.1102230246251566e-17

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.003488372093023251

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.005813953488372092

.base_values =
1.8255813953488371

.data =
1.0",".values =
-0.07965116279069767

.base_values =
1.8255813953488371

.data =
1.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.13720930232558132

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.0

.base_values =
1.8255813953488371

.data =
0.0",".values =
-0.3412790697674419

.base_values =
1.8255813953488371

.data =
0.0",".values =
0.13604651162790704

.base_values =
1.8255813953488371

.data =
0.0"
